2021-05-28 18:17:10,277 [Dummy-1:140139178661632] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:17:12,564 [Dummy-1:140327064946432] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:17:12,566 [Dummy-1:140327064946432] [django.db.backends:111] [DEBUG]- (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:17:12,568 [Dummy-1:140327064946432] [django.db.backends:111] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2021-05-28 18:17:12,574 [Dummy-1:140327064946432] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:17:15,130 [Dummy-1:140408549955328] [django.db.backends:111] [DEBUG]- (0.001) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:17:15,132 [Dummy-1:140408549955328] [django.db.backends:111] [DEBUG]- (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:17:15,136 [Dummy-1:140408549955328] [django.db.backends:111] [DEBUG]- (0.002) SHOW FULL TABLES; args=None
2021-05-28 18:17:15,144 [Dummy-1:140408549955328] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:17:17,538 [Dummy-1:140334785881856] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:17:17,539 [Dummy-1:140334785881856] [django.db.backends:111] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:17:17,541 [Dummy-1:140334785881856] [django.db.backends:111] [DEBUG]- (0.001) SHOW FULL TABLES; args=None
2021-05-28 18:17:17,545 [Dummy-1:140334785881856] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:17:19,862 [Dummy-1:139993053497088] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:17:19,863 [Dummy-1:139993053497088] [django.db.backends:111] [DEBUG]- (0.000) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
2021-05-28 18:17:19,867 [Dummy-1:139993053497088] [django.db.backends:111] [DEBUG]- (0.003) SHOW FULL TABLES; args=None
2021-05-28 18:17:19,873 [Dummy-1:139993053497088] [django.db.backends:111] [DEBUG]- (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2021-05-28 18:17:22,354 [Dummy-1:139657934423808] [django.db.backends:111] [DEBUG]- (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2021-05-28 18:17:22,356 [Dummy-1:139657934423808] [django.db.backends:111] [DEBUG]- (0.001) SET SESSION TRANSACTION ISOLATION LEVEL READ COMMITTED; args=None
